No,Red,Green,Blue,Brightness
298,0.502,0.316,0.182,303
299,0.505,0.309,0.186,354
300,0.509,0.307,0.183,371
301,0.511,0.303,0.186,356
302,0.521,0.299,0.18,335
303,0.51,0.31,0.181,357
304,0.495,0.323,0.182,319
305,0.5,0.321,0.179,325
306,0.513,0.31,0.177,343
307,0.526,0.299,0.174,301
308,0.53,0.295,0.175,282
309,0.516,0.309,0.175,334
310,0.492,0.325,0.183,313
311,0.497,0.321,0.182,318
312,0.506,0.314,0.179,307
313,0.51,0.311,0.179,300
314,0.5,0.319,0.181,302
315,0.495,0.324,0.182,268
316,0.498,0.32,0.182,287
317,0.51,0.311,0.179,300
318,0.502,0.318,0.18,294
319,0.502,0.319,0.179,295
320,0.511,0.312,0.178,311
321,0.518,0.303,0.179,292
322,0.524,0.3,0.176,293
323,0.513,0.31,0.177,333
324,0.502,0.319,0.179,231
325,0.504,0.317,0.18,278
326,0.508,0.312,0.18,319
327,0.524,0.299,0.177,320
328,0.503,0.315,0.182,303
329,0.502,0.316,0.182,251
330,0.507,0.312,0.181,296
331,0.522,0.299,0.179,254
332,0.506,0.312,0.182,227
333,0.546,0.294,0.16,120
334,0.509,0.312,0.179,213
335,0.515,0.301,0.184,260
336,0.528,0.296,0.176,288
337,0.513,0.306,0.181,228
338,0.511,0.311,0.179,187
339,0.514,0.302,0.184,239
340,0.517,0.301,0.182,230
341,0.519,0.3,0.181,235
342,0.517,0.309,0.174,207
343,0.512,0.313,0.175,210
344,0.508,0.308,0.183,235
345,0.491,0.32,0.189,228
346,0.495,0.321,0.184,193
347,0.49,0.318,0.193,197
348,0.48,0.325,0.195,201
349,0.496,0.326,0.178,130
350,0.505,0.324,0.171,105
351,0.485,0.322,0.193,173
352,0.486,0.322,0.192,209
353,0.489,0.324,0.187,179
354,0.489,0.326,0.185,181
355,0.482,0.327,0.19,220
356,0.49,0.322,0.188,232
357,0.498,0.316,0.186,243
358,0.49,0.322,0.188,241
359,0.516,0.32,0.164,121
360,0.5,0.327,0.173,163
361,0.496,0.321,0.183,254
362,0.5,0.314,0.186,254
363,0.508,0.312,0.18,240
364,0.504,0.315,0.181,272
365,0.504,0.318,0.178,233
366,0.51,0.314,0.176,241
367,0.508,0.314,0.178,303
368,0.515,0.307,0.178,286
369,0.523,0.299,0.178,284
370,0.518,0.306,0.176,338
371,0.506,0.315,0.179,327
372,0.512,0.315,0.173,363
373,0.527,0.301,0.172,331
374,0.526,0.299,0.174,320
375,0.494,0.32,0.185,250
376,0.495,0.32,0.186,189
377,0.509,0.311,0.18,319
378,0.524,0.301,0.176,276
379,0.523,0.302,0.174,301
380,0.518,0.305,0.177,295
381,0.52,0.302,0.178,306
382,0.535,0.291,0.174,279
383,0.541,0.288,0.171,278
384,0.521,0.304,0.175,295
385,0.522,0.304,0.174,292
386,0.53,0.296,0.174,280
387,0.534,0.292,0.173,263
388,0.525,0.298,0.176,280
389,0.513,0.31,0.177,296
390,0.511,0.312,0.177,305
391,0.514,0.309,0.177,311
392,0.518,0.306,0.176,286
393,0.516,0.307,0.176,283
394,0.503,0.318,0.179,291
395,0.506,0.319,0.175,239
396,0.502,0.32,0.178,288
397,0.505,0.314,0.18,269
398,0.504,0.315,0.181,262
399,0.508,0.319,0.173,238
400,0.504,0.325,0.171,217
401,0.5,0.324,0.176,264
402,0.506,0.315,0.179,243
403,0.51,0.311,0.178,225
404,0.507,0.317,0.175,254
405,0.508,0.322,0.169,172
406,0.494,0.325,0.181,148
407,0.492,0.329,0.178,247
408,0.517,0.31,0.174,228
409,0.524,0.303,0.173,216
410,0.523,0.309,0.168,244
411,0.498,0.332,0.17,236
412,0.506,0.327,0.167,234
413,0.522,0.315,0.164,214
414,0.508,0.321,0.171,170
415,0.509,0.335,0.156,155
416,0.516,0.329,0.155,150
417,0.516,0.326,0.158,177
418,0.511,0.322,0.167,164
419,0.514,0.324,0.162,163
420,0.521,0.327,0.152,155
421,0.527,0.326,0.147,123
422,0.521,0.323,0.156,157
423,0.518,0.324,0.159,155
424,0.515,0.325,0.16,151
425,0.523,0.326,0.152,125
426,0.525,0.323,0.152,150
427,0.528,0.319,0.153,150
428,0.537,0.316,0.147,127
429,0.535,0.318,0.146,146
430,0.537,0.315,0.148,146
431,0.535,0.312,0.153,143
432,0.538,0.314,0.147,142
433,0.535,0.319,0.146,134
434,0.541,0.314,0.145,147
435,0.538,0.314,0.147,146
436,0.543,0.314,0.143,132
437,0.544,0.309,0.148,139
438,0.542,0.306,0.153,138
439,0.54,0.309,0.151,133
440,0.535,0.31,0.155,133
441,0.535,0.306,0.16,137
442,0.538,0.308,0.154,126
443,0.534,0.308,0.158,138
444,0.535,0.306,0.16,136
445,0.534,0.313,0.153,128
446,0.538,0.311,0.152,129
447,0.537,0.309,0.154,143
448,0.522,0.321,0.157,130
449,0.513,0.325,0.162,114
450,0.516,0.32,0.164,126
451,0.516,0.32,0.164,124
452,0.525,0.323,0.152,96
453,0.527,0.318,0.155,109
454,0.518,0.324,0.158,134
