No,Red,Green,Blue,Brightness
326,0.435,0.344,0.221,132
327,0.427,0.347,0.226,126
328,0.427,0.345,0.227,113
329,0.432,0.342,0.225,112
330,0.43,0.346,0.224,109
331,0.429,0.343,0.229,107
332,0.423,0.346,0.231,107
333,0.423,0.346,0.231,107
334,0.431,0.339,0.229,110
335,0.434,0.345,0.221,113
336,0.433,0.342,0.225,119
337,0.431,0.345,0.224,116
338,0.43,0.342,0.228,113
339,0.432,0.339,0.229,116
340,0.435,0.339,0.226,122
341,0.44,0.336,0.224,124
342,0.44,0.343,0.216,131
343,0.444,0.34,0.215,142
344,0.441,0.338,0.221,142
345,0.437,0.341,0.222,132
346,0.437,0.341,0.222,124
347,0.431,0.341,0.228,121
348,0.429,0.339,0.232,111
349,0.427,0.34,0.233,103
350,0.422,0.343,0.235,101
351,0.427,0.34,0.233,103
352,0.434,0.34,0.226,106
353,0.423,0.351,0.225,110
354,0.42,0.357,0.223,111
355,0.416,0.354,0.23,112
356,0.41,0.352,0.238,105
357,0.413,0.356,0.231,104
358,0.418,0.355,0.227,110
359,0.422,0.353,0.224,115
360,0.419,0.35,0.231,116
361,0.419,0.35,0.231,118
362,0.425,0.346,0.228,128
363,0.433,0.339,0.228,126
364,0.422,0.345,0.233,117
365,0.404,0.356,0.24,107
366,0.402,0.355,0.243,109
367,0.396,0.356,0.248,103
368,0.41,0.35,0.24,101
369,0.42,0.348,0.232,112
370,0.416,0.345,0.239,113
371,0.415,0.349,0.236,107
372,0.413,0.346,0.24,104
373,0.431,0.339,0.229,109
374,0.429,0.339,0.232,111
375,0.422,0.339,0.239,109
376,0.42,0.348,0.232,112
377,0.417,0.348,0.235,115
378,0.417,0.348,0.235,116
379,0.419,0.342,0.239,118
380,0.423,0.341,0.236,124
381,0.425,0.343,0.231,135
382,0.429,0.343,0.229,141
383,0.428,0.341,0.232,137
384,0.431,0.336,0.234,136
385,0.437,0.333,0.23,135
386,0.432,0.333,0.235,132
387,0.431,0.338,0.231,130
388,0.421,0.349,0.23,125
389,0.415,0.347,0.237,118
390,0.406,0.349,0.245,107
391,0.414,0.354,0.232,99
392,0.411,0.355,0.234,106
393,0.416,0.354,0.23,110
394,0.413,0.358,0.229,108
395,0.417,0.359,0.223,103
396,0.426,0.352,0.222,106
397,0.436,0.345,0.218,111
398,0.435,0.343,0.222,108
399,0.438,0.343,0.219,106
400,0.439,0.346,0.215,107
401,0.431,0.349,0.22,107
402,0.434,0.349,0.217,104
403,0.435,0.352,0.213,106
404,0.443,0.349,0.208,105
405,0.437,0.35,0.214,101
406,0.436,0.351,0.213,93
407,0.44,0.352,0.209,91
408,0.44,0.352,0.209,91
409,0.433,0.356,0.211,89
410,0.442,0.349,0.209,85
411,0.447,0.353,0.2,84
412,0.447,0.353,0.2,84
413,0.444,0.356,0.2,89
414,0.44,0.363,0.198,90
415,0.448,0.354,0.198,94
416,0.45,0.36,0.19,99
417,0.451,0.353,0.196,100
418,0.452,0.356,0.192,102
419,0.453,0.358,0.189,105
420,0.455,0.355,0.191,108
421,0.46,0.354,0.186,109
422,0.46,0.354,0.186,108
423,0.452,0.357,0.191,111
424,0.455,0.358,0.187,119
425,0.448,0.36,0.192,121
426,0.452,0.357,0.19,122
427,0.449,0.362,0.189,123
428,0.456,0.352,0.192,118
