No,Red,Green,Blue,Brightness
957,0.488,0.279,0.233,118
958,0.488,0.276,0.236,117
959,0.485,0.273,0.242,121
960,0.486,0.268,0.246,132
961,0.503,0.255,0.241,135
962,0.518,0.248,0.234,132
963,0.529,0.243,0.229,133
964,0.526,0.241,0.234,131
965,0.526,0.241,0.233,126
966,0.53,0.235,0.235,110
967,0.532,0.234,0.234,89
968,0.536,0.226,0.238,79
969,0.549,0.22,0.232,78
970,0.548,0.214,0.238,78
971,0.547,0.221,0.233,80
972,0.544,0.222,0.233,84
973,0.527,0.231,0.242,84
974,0.522,0.233,0.244,83
975,0.533,0.228,0.239,84
976,0.533,0.228,0.239,84
977,0.527,0.237,0.237,84
978,0.526,0.237,0.237,89
979,0.521,0.234,0.245,86
980,0.511,0.239,0.25,84
981,0.522,0.233,0.244,84
982,0.521,0.234,0.245,86
983,0.537,0.221,0.242,88
984,0.534,0.223,0.243,94
985,0.541,0.22,0.239,99
986,0.55,0.216,0.234,103
987,0.55,0.216,0.234,105
988,0.55,0.216,0.234,104
989,0.545,0.218,0.236,102
990,0.55,0.211,0.239,102
991,0.55,0.216,0.234,102
992,0.56,0.211,0.229,100
993,0.562,0.21,0.229,96
994,0.564,0.208,0.228,93
995,0.57,0.204,0.226,86
996,0.563,0.207,0.23,80
997,0.553,0.212,0.235,78
998,0.548,0.214,0.238,76
999,0.539,0.224,0.237,69
1000,0.544,0.221,0.235,61
1001,0.561,0.211,0.228,51
1002,0.56,0.22,0.22,44
1003,0.562,0.208,0.229,43
1004,0.562,0.208,0.229,43
1005,0.553,0.213,0.234,42
1006,0.562,0.208,0.229,43
1007,0.553,0.213,0.234,41
1008,0.571,0.214,0.214,37
1009,0.568,0.216,0.216,32
1010,0.583,0.208,0.208,19
1011,0.692,0.154,0.154,11
1012,0.643,0.214,0.143,12
1013,0.56,0.24,0.2,21
1014,0.556,0.222,0.222,38
1015,0.561,0.227,0.212,57
1016,0.566,0.217,0.217,72
1017,0.574,0.213,0.213,84
1018,0.578,0.206,0.216,91
1019,0.581,0.21,0.21,94
1020,0.578,0.211,0.211,98
1021,0.575,0.212,0.212,102
1022,0.566,0.212,0.221,103
1023,0.569,0.211,0.22,100
